period,chain,revenue_vnd_bn,ending_stores,revenue_per_store_month_vnd_bn
2021A,TGDD / TopZone,,,
2022A,TGDD / TopZone,,,
2023A,TGDD / TopZone,,,
2024A,TGDD / TopZone,,,
2025A,TGDD / TopZone,,,
2021A,DMX,,,
2022A,DMX,,,
2023A,DMX,,,
2024A,DMX,,,
2025A,DMX,,,
2021A,BHX,,,
2022A,BHX,,,
2023A,BHX,,,
2024A,BHX,,,
2025A,BHX,,,
2021A,An Khang,,,
2022A,An Khang,,,
2023A,An Khang,,,
2024A,An Khang,,,
2025A,An Khang,,,
2021A,AVAKids,,,
2022A,AVAKids,,,
2023A,AVAKids,,,
2024A,AVAKids,,,
2025A,AVAKids,,,
2026E,TGDD / TopZone,39325.944767441855,1012.0,3.238302434736648
2027E,TGDD / TopZone,40898.98255813953,1012.0,3.367834532126114
2028E,TGDD / TopZone,42125.95203488371,1012.0,3.4688695680898975
2029E,TGDD / TopZone,43389.73059593023,1012.0,3.5729356551325946
2030E,TGDD / TopZone,44474.47386082848,1012.0,3.662259046510909
2026E,DMX,80924.05523255814,2004.0,3.3617503835393046
2027E,DMX,85693.9756167544,2004.0,3.563455406551663
2028E,DMX,89978.67439759211,2004.0,3.7416281768792463
2029E,DMX,93577.8213734958,2004.0,3.8912933039544164
2030E,DMX,96385.15601470068,2004.0,4.008032103073049
2026E,BHX,55500.0,3559.0,1.5119320039228505
2027E,BHX,73515.27459954233,4159.0,1.587528604118993
2028E,BHX,88192.61155606408,4659.0,1.6669050343249427
2029E,BHX,101081.65469107551,5059.0,1.7335812356979405
2030E,BHX,112697.20371624714,5359.0,1.8029244851258581
2026E,An Khang,2860.0,482.0,0.5516975308641975
2027E,An Khang,3525.2148148148144,542.0,0.5737654320987654
2028E,An Khang,4060.0560000000005,592.0,0.596716049382716
2029E,An Khang,4513.751146666667,632.0,0.6146175308641976
2030E,An Khang,4915.0472249185195,662.0,0.6330560567901236
2026E,AVAKids,1680.0,95.0,1.5730337078651686
2027E,AVAKids,1982.0224719101122,105.0,1.651685393258427
2028E,AVAKids,2267.433707865169,115.0,1.7177528089887641
2029E,AVAKids,2572.5066067415733,125.0,1.7864629213483147
2030E,AVAKids,2870.4886220224726,135.0,1.8400568089887643
